date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:53:47	381202/381202	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Nov%202024%2020:10:46%20GMT	https://55hotel.com.br/	C:/My%20Web%20Sites/55hotel/55hotel.com.br/index.html	(from )
11:53:47	96/96	---M--	200	added ('OK')	text/plain	date:Mon,%2015%20Apr%202024%2018:19:48%20GMT	https://55hotel.com.br/robots.txt		(from )
11:53:48	87561/87561	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202023%2015:14:14%20GMT	https://55hotel.com.br/sitespro/assets/css/minified/style.min.css	C:/My%20Web%20Sites/55hotel/55hotel.com.br/sitespro/assets/css/minified/style.min.css	(from https://55hotel.com.br/)
11:53:48	945/945	---MCZ	200	added ('OK')	application/rss+xml	date:Sun,%2024%20Nov%202024%2017:59:03%20GMT	https://55hotel.com.br/feed/	C:/My%20Web%20Sites/55hotel/55hotel.com.br/feed/index.html	(from https://55hotel.com.br/)
11:53:48	661/661	---MCZ	200	added ('OK')	application/rss+xml	date:Sun,%2024%20Nov%202024%2017:59:03%20GMT	https://55hotel.com.br/comments/feed/	C:/My%20Web%20Sites/55hotel/55hotel.com.br/comments/feed/index.html	(from https://55hotel.com.br/)
11:53:48	3304/3304	---M--	200	added ('OK')	font/woff	date:Thu,%2028%20Sep%202023%2015:14:14%20GMT	https://55hotel.com.br/sitespro/assets/fonts/astra.woff	C:/My%20Web%20Sites/55hotel/55hotel.com.br/sitespro/assets/fonts/astra.woff	(from https://55hotel.com.br/)
11:53:48	3412/3412	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202023%2015:14:14%20GMT	https://55hotel.com.br/sitespro/assets/css/minified/menu-animation.min.css	C:/My%20Web%20Sites/55hotel/55hotel.com.br/sitespro/assets/css/minified/menu-animation.min.css	(from https://55hotel.com.br/)
11:53:49	53907/53907	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202023%2015:14:14%20GMT	https://55hotel.com.br/recursos/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/55hotel/55hotel.com.br/recursos/css/dist/block-library/style.min.css	(from https://55hotel.com.br/)
11:53:49	36669/36669	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202023%2015:14:14%20GMT	https://55hotel.com.br/conteudo/plugins/jet-engine/assets/css/frontend.css	C:/My%20Web%20Sites/55hotel/55hotel.com.br/conteudo/plugins/jet-engine/assets/css/frontend.css	(from https://55hotel.com.br/)
11:53:49	229865/229865	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202023%2015:14:14%20GMT	https://55hotel.com.br/conteudo/plugins/jet-elements/assets/css/jet-elements.css	C:/My%20Web%20Sites/55hotel/55hotel.com.br/conteudo/plugins/jet-elements/assets/css/jet-elements.css	(from https://55hotel.com.br/)
11:53:49	17382/17382	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202023%2015:14:14%20GMT	https://55hotel.com.br/conteudo/plugins/jet-elements/assets/css/jet-elements-skin.css	C:/My%20Web%20Sites/55hotel/55hotel.com.br/conteudo/plugins/jet-elements/assets/css/jet-elements-skin.css	(from https://55hotel.com.br/)
11:53:49	16636/16636	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202023%2015:14:14%20GMT	https://55hotel.com.br/modulos/dev/assets/lib/eicons/css/elementor-icons.min.css	C:/My%20Web%20Sites/55hotel/55hotel.com.br/modulos/dev/assets/lib/eicons/css/elementor-icons.min.css	(from https://55hotel.com.br/)
11:53:50	18468/18468	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202023%2015:14:14%20GMT	https://55hotel.com.br/modulos/dev/assets/lib/animations/animations.min.css	C:/My%20Web%20Sites/55hotel/55hotel.com.br/modulos/dev/assets/lib/animations/animations.min.css	(from https://55hotel.com.br/)
11:53:50	3855/3855	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202023%2015:14:14%20GMT	https://55hotel.com.br/modulos/dev/assets/css/frontend-legacy.min.css	C:/My%20Web%20Sites/55hotel/55hotel.com.br/modulos/dev/assets/css/frontend-legacy.min.css	(from https://55hotel.com.br/)
11:53:50	112213/112213	---M--	200	added ('OK')	text/css	date:Thu,%2028%20Sep%202023%2015:14:14%20GMT	https://55hotel.com.br/modulos/dev/assets/css/frontend.min.css	C:/My%20Web%20Sites/55hotel/55hotel.com.br/modulos/dev/assets/css/frontend.min.css	(from https://55hotel.com.br/)
